name,aoa,Cl,Cd,Cn,Cc,aoa_Cl0,Cl_lin_slope,Cl_lin_range,Cd_Cl0,Re
,0.026179939,1.031,0.01721,1.031097207,,,,,,
,0.034906585,1.09,0.01762,1.089950931,,,,,,
,0.043633231,1.15,0.0181,1.149694966,,,,,,
,0.052359878,1.209,0.01775,1.208272071,,,,,,
,0.061086524,1.267,0.01827,1.265752146,,,,,,
,0.06981317,1.325,0.01887,1.323088671,,,,,,
,0.078539816,1.381,0.02222,1.378486199,,,,,,
,0.087266463,1.433,0.02407,1.429644841,,,,,,
,0.095993109,1.482,0.02556,1.477626983,,,,,,
,0.104719755,1.528,0.02757,1.522511306,,,,,,
,0.113446401,1.57,0.03033,1.563341267,,,,,,
,0.122173048,1.611,0.0327,1.602976978,,,,,,
,0.130899694,1.647,0.03615,1.637628209,,,,,,
,0.13962634,1.684,0.03791,1.67288748,,,,,,
,0.148352986,1.718,0.03994,1.705032761,,,,,,
,0.157079633,1.746,0.04183,1.731047496,,,,,,
,0.165806279,1.77,0.04404,1.752994211,,,,,,
,0.174532925,1.79,0.04631,1.770847525,,,,,,
,0.183259571,1.805,0.04883,1.783673669,,,,,,
,0.191986218,1.815,0.05144,1.791468553,,,,,,
,0.200712864,1.82,0.05437,1.794302597,,,,,,
,0.20943951,1.815,0.05777,1.787348954,,,,,,
,0.218166156,1.805,0.06119,1.775458233,,,,,,
,0.226892803,1.789,0.06478,1.757720375,,,,,,
,0.235619449,1.766,0.06898,1.733308341,,,,,,
,0.244346095,1.738,0.07359,1.704177005,,,,,,
,0.253072742,1.702,0.07942,1.667672464,,,,,,
,0.261799388,1.632,0.09318,1.600507707,,,,,,
,0.270526034,1.498,0.12819,1.477775706,,,,,,
,0.27925268,1.4,0.15541,1.388603176,,,,,,
,0.287979327,1.365,0.16604,1.355946846,,,,,,
,0.296705973,1.327,0.177,1.320766203,,,,,,
,0.305432619,1.291,0.18824,1.287853443,,,,,,
,0.314159265,1.253,0.19973,1.253393779,,,,,,
,0.322885912,1.213,0.20793,1.216293751,,,,,,
,0.331612558,1.174,0.22714,1.183988358,,,,,,
,0.340339204,1.134,0.23904,1.148748643,,,,,,
,0.34906585,1.095,0.25962,1.117758689,,,,,,
,0.357792497,1.056,0.26543,1.082081377,,,,,,
,0.366519143,1.017,0.28905,1.05303755,,,,,,
,0.375245789,0.98,0.30526,1.023687381,,,,,,
,0.383972435,0.942,0.31649,0.991966432,,,,,,
,0.392699082,0.906,0.33007,0.963347177,,,,,,
,0.401425728,0.871,0.3381,0.933865922,,,,,,
,0.410152374,0.837,0.37096,0.915499237,,,,,,
,0.41887902,0.804,0.39277,0.894244499,,,,,,
,0.427605667,0.773,0.40595,0.871744784,,,,,,
,0.436332313,0.742,0.42768,0.853225756,,,,,,
,0.445058959,0.713,0.46252,0.8426633,,,,,,
,0.453785606,0.685,0.47357,0.823273346,,,,,,
,0.462512252,0.658,0.49823,0.811175946,,,,,,
,0.471238898,0.632,0.51636,0.797538658,,,,,,
,0.479965544,0.607,0.52262,0.779734636,,,,,,
,0.488692191,0.584,0.58359,0.789620304,,,,,,
,0.497418837,0.561,0.59882,0.778748609,,,,,,
,0.506145483,0.54,0.61099,0.768508472,,,,,,
,0.514872129,0.519,0.62336,0.758671757,,,,,,
,0.523598776,0.5,0.62407,0.745047702,,,,,,
,0.532325422,0.481,0.70661,0.773075309,,,,,,
,0.541052068,0.464,0.75675,0.787480691,,,,,,
,0.549778714,0.447,0.73969,0.767617117,,,,,,
,0.558505361,0.431,0.78691,0.782507498,,,,,,
,0.567232007,0.415,0.82533,0.793456936,,,,,,
,0.575958653,0.401,0.83267,0.789811483,,,,,,
,0.584685299,0.386,0.89983,0.818529385,,,,,,
,0.593411946,0.372,0.8996,0.811451913,,,,,,
,0.602138592,0.358,0.94488,0.830223101,,,,,,
,0.610865238,0.346,0.90158,0.800551651,,,,,,
,0.619591884,0.333,0.95027,0.822925065,,,,,,
,0.628318531,0.322,0.98927,0.841981789,,,,,,
,0.637045177,0.311,1.02722,0.861013347,,,,,,
,0.645771823,0.3,1.08609,0.893215932,,,,,,
,0.654498469,0.29,1.05247,0.87077561,,,,,,
,0.663225116,0.28,1.12214,0.911501379,,,,,,
,0.671951762,0.271,1.16398,0.936681397,,,,,,
,0.680678408,0.263,1.21153,0.966829921,,,,,,
,0.689405055,0.254,1.14728,0.925752465,,,,,,
,0.698131701,0.246,1.22952,0.978767155,,,,,,
